norm_text,label,freq,cum_freq,cum_pct,rank,bucket
206,CARDINAL,1,2527,0.9328165374677002,1232,tail
"21,000,000",MONEY,1,2528,0.9331856773717239,1233,tail
"21,219",CARDINAL,1,2529,0.9335548172757475,1234,tail
"21,25,209",CARDINAL,1,2530,0.9339239571797712,1235,tail
"21,783",CARDINAL,1,2531,0.9342930970837947,1236,tail
340,CARDINAL,1,2532,0.9346622369878184,1237,tail
35,CARDINAL,1,2533,0.935031376891842,1238,tail
"36,000 taelsf",MONEY,1,2534,0.9354005167958657,1239,tail
305,CARDINAL,1,2535,0.9357696566998892,1240,tail
"3,898",CARDINAL,1,2536,0.9361387966039129,1241,tail
30 to 40 ‘,CARDINAL,1,2537,0.9365079365079365,1242,tail
"32,303,963",CARDINAL,1,2538,0.9368770764119602,1243,tail
300,CARDINAL,1,2539,0.9372462163159837,1244,tail
302,CARDINAL,1,2540,0.9376153562200074,1245,tail
"304,954",CARDINAL,1,2541,0.937984496124031,1246,tail
30th,DATE,1,2542,0.9383536360280547,1247,tail
"33,272",CARDINAL,1,2543,0.9387227759320783,1248,tail
319,CARDINAL,1,2544,0.9390919158361019,1249,tail
"32,000 peculs",MONEY,1,2545,0.9394610557401255,1250,tail
"32,008",CARDINAL,1,2546,0.9398301956441492,1251,tail
300 to 400,CARDINAL,1,2547,0.9401993355481728,1252,tail
georges,PERSON,1,2548,0.9405684754521964,1253,tail
'lin tin',LOC,1,2549,0.94093761535622,1254,tail
"3,70,500",CARDINAL,1,2550,0.9413067552602437,1255,tail
"3,591",CARDINAL,1,2551,0.9416758951642673,1256,tail
"3,358",CARDINAL,1,2552,0.9420450350682908,1257,tail
"3,229",CARDINAL,1,2553,0.9424141749723145,1258,tail
"3,20,748",CARDINAL,1,2554,0.9427833148763382,1259,tail
"32,301",CARDINAL,1,2555,0.9431524547803618,1260,tail
"32,94,570",CARDINAL,1,2556,0.9435215946843853,1261,tail
"3,007",CARDINAL,1,2557,0.943890734588409,1262,tail
360,CARDINAL,1,2558,0.9442598744924326,1263,tail
"38,115,154",CARDINAL,1,2559,0.9446290143964563,1264,tail
378,CARDINAL,1,2560,0.9449981543004798,1265,tail
374,CARDINAL,1,2561,0.9453672942045035,1266,tail
"372,025",CARDINAL,1,2562,0.9457364341085271,1267,tail
372,CARDINAL,1,2563,0.9461055740125508,1268,tail
"37,470,465",CARDINAL,1,2564,0.9464747139165743,1269,tail
369,CARDINAL,1,2565,0.946843853820598,1270,tail
"36,491,288",CARDINAL,1,2566,0.9472129937246216,1271,tail
nanking,NORP,1,2567,0.9475821336286453,1272,tail
the past few days,DATE,1,2568,0.9479512735326688,1273,tail
